Header,Price,Artist,Dimensions,Specifications,Imgs
Fragile !,8190,Michel Laurent,92(L)x92(A)x65(P)cm,2016 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/13365/main/zoom/562245_2293d1de310a39abc0be0833f7b80faa.png', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_e4da9e8d7b692dac6b74730c6f1e9506.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_58c927217c4394fa8fe160ed1c31a98f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_f13d35d6bf21ca8a0c12f9ffc8ebf538.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_5989314109acb30df0c858bc7ed7ee53.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_a2cf6eca1edfd59601c86c10eeef00f8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_8b56af4c72881294aa2324127764930f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_58c523163dc3ebb07820772cd41e1677.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_6ae11679a763e44812585a97126e6ec4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13365/alts/zoom/alt_562245_e7e0734a9f6ea3c155a64ec842404915.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/13365/main/zoom/562245_2293d1de310a39abc0be0833f7b80faa.png']"
Danseuse,6608,jeanine FITOU VALENS,40(L)x50(A)x20(P)cm,2015 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/15289/main/zoom/557283_96c60725ad674a401224631ff30e8219.png', 'https://www.singulart.com/images/artworks/v2/cropped/15289/alts/zoom/alt_557283_1e6249588fff066c0970015b730708e5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15289/alts/zoom/alt_557283_e253ae9861b7325b2d74205581bd92c9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15289/alts/zoom/alt_557283_b4bf3c1c899a6d7771f296237477b8a1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15289/alts/zoom/alt_557283_e1d7be21cffc22903805466f53b9ea89.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/15289/main/zoom/557283_96c60725ad674a401224631ff30e8219.png']"
Universal Pattern (Composició Universal),5635,Arribas - Forcada,195 x 375 cm,2012 • España • Óleo en Lino,"['https://www.singulart.com/images/artworks/v2/cropped/2299/main/zoom/95465_4b233dc8733c9d83e2cb9036f1056b73.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_738733ecd1e7b16f5f60b933713d2b27.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_58c01b909d2762e0c75130bc581827a7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_d265d35afef6d2a768efad240b7bc455.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_1d7786c94fb9d867b74ac1eda69dcdf9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_a1e4a1fae555dc094b95e512cbabe0c3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_51d6b58d129eaa3c5f86a865e18cb3bf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_4b82ef8f79e0d80ecb68a902d1b01215.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_66d44a51ef5ed4f6a0c9f2b35249f095.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_c8f85e2b8daf5b0c236d91b20da78b76.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_d265d35afef6d2a768efad240b7bc455.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_cac63882eb90c064d64fc8d4d134ca3b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/alts/zoom/alt_95465_32cd725c12bc393b4ef8123c26a0d163.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2299/main/zoom/95465_4b233dc8733c9d83e2cb9036f1056b73.jpeg']"
Oxford street,5915,Eusebio López,200 x 200 cm,2020 • España • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/2135/main/zoom/1438855_b69285d3d63af77a80fcb0c4b7229009.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2135/main/zoom/1438855_b69285d3d63af77a80fcb0c4b7229009.jpeg']"
Rayons de lumière du soleil sur l'eau,12397,Artiste H. E.,65 x 81 cm,"2020 • Francia • Acrílico, Dorados en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/50207/main/zoom/1963827_ab1da3a5876c655962e2b4901e64d756.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_3a3517a571e080e61acc063d3afe076a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_6bb6a474bed39cd5afc2f08270a0e6a7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_9775f3601baf9a627a5eb4a2a268bed2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_3fe073bf4bb40b4fd4597a1004e4bf1d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_2b46f10b62f1079a769086ae17b49c7f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_72a59c07e427d2349bf1af390e668b24.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_dfef435a88313780744e0543eb7e5548.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_f3d93e1733727eca44a8b9747bd30b0e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_cf1d9b781c6bd26cb7f1157434e5c25f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_699456cf568cad154e91e1141f61f257.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_066e3d4851ed86d080c882414b4f82a7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_8b7c054371338e98802d184951ef0d41.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_75e25c07955c05306386b907677db560.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_041834557adcff53ebb8cad1a24bd6d2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_fab39e18796b4f3318dc49d436468d12.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_44aa334dda55085f74da6ddf7a7e62b9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_52fd9464ef0feb04574d9fc946b10084.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_9b3a8f8cb2e2fc50b627ee314f8a1830.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_6338c56a777cba9cf7228e936c860187.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_1f17fbe965a3d624fbf480b8f031e580.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/alts/zoom/alt_1963827_12ccbb4f5d7660d0640219a71832ceec.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/50207/main/zoom/1963827_ab1da3a5876c655962e2b4901e64d756.jpeg']"
"plastic rug, electric wire",5551,Kimia Pishdadian,110 x 80 cm,"2020 • Irán • Acrílico, Objetos en Tela","['https://www.singulart.com/images/artworks/v2/cropped/1077/main/zoom/1369769_412d7583d1cd282d7a36f8a27080dab5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1077/alts/zoom/alt_1369769_dafe18e74327dfa97a43be21f050e96a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1077/alts/zoom/alt_1369769_d6e21be19e26563088239815df9caab1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1077/alts/zoom/alt_1369769_2dec3725750c808dc6b767ac3f7cd373.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1077/main/zoom/1369769_412d7583d1cd282d7a36f8a27080dab5.jpeg']"
La Meurtrière,10520,Alexandre Barbera-Ivanoff,100 x 81 cm,2017 • Francia • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/pictures/cropped/3209/8269/zoom/serie_8269_fcefd8b22b8e4ada272fa68cc48e0ea6.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3209/alts/zoom/alt_160105_9f2fc4e1971a86a22aa4e01c3d1e7446.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3209/alts/zoom/alt_160105_38c701ef5f35ec27ed7c25b0c43dd389.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3209/alts/zoom/alt_160105_11562c54e215b07c6075835ec713f3d3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3209/alts/zoom/alt_160105_8962041316dc0048b53a3165a94d9c83.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3209/8269/zoom/serie_8269_fcefd8b22b8e4ada272fa68cc48e0ea6.jpeg']"
BILBO,7970,Xavier García,103 x 145 cm,2012 • España • Óleo en Madera,"['https://www.singulart.com/images/artworks/pictures/cropped/1104/2171/zoom/serie_2171_808a776939b43a8d820b36355aa13444.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/1104/2171/zoom/serie_2171_808a776939b43a8d820b36355aa13444.jpeg']"
COLTRANE,10997,Mathilde Lemonnier,80 x 122 cm,2024 • Francia • Laca en Madera,"['https://www.singulart.com/images/artworks/v2/cropped/60693/main/zoom/2069414_65d21ae25250a30111ba4065654c492a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60693/alts/zoom/alt_2069414_9ace868c1eda4db5d64b85d178ff63ae.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60693/alts/zoom/alt_2069414_39574fa71d7e475beb1e48b4dc4076ca.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60693/alts/zoom/alt_2069414_d84cd417b290be7dc1bf3c7d0ab5f2b8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60693/alts/zoom/alt_2069414_d84cd417b290be7dc1bf3c7d0ab5f2b8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60693/main/zoom/2069414_65d21ae25250a30111ba4065654c492a.jpeg']"
"Femme nue, la jambe pliée (Suite Vollard 8)",8550,Pablo Picasso,45 x 35 cm,1931 • España • Grabado en Papel,"['https://www.singulart.com/images/artworks/v2/cropped/49938/main/zoom/1956697_7088564924464273ff1bf16974ce8dd9.png', 'https://www.singulart.com/images/artworks/v2/cropped/49938/alts/alt_1956697_5f579a465ccb700034e0a793053ad794.png', 'https://www.singulart.com/images/artworks/v2/cropped/49938/alts/alt_1956697_3c8236fa59ee00b69928e4f189168ca6.png', 'https://www.singulart.com/images/artworks/v2/cropped/49938/alts/alt_1956697_e1b35e5625bcf978b00ef8b6baf690d7.png', 'https://www.singulart.com/images/artworks/v2/cropped/49938/alts/alt_1956697_8c715a1e55d0d496efdac7282d3ecb46.png', 'https://www.singulart.com/images/artworks/v2/cropped/49938/main/zoom/1956697_7088564924464273ff1bf16974ce8dd9.png']"
Le Grand Cavalier,5523,Bernard Métranve,28(L)x47(A)x29(P)cm,2020 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/14647/main/zoom/2247805_8832b67bb098425fd75a91081980a034.png', 'https://www.singulart.com/images/artworks/v2/cropped/14647/alts/zoom/alt_2247805_a632a3d6187cab18e3222ccb5df3d274.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14647/alts/zoom/alt_2247805_8afaf88efea1fd7ef4580dade3454b46.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14647/alts/zoom/alt_2247805_34bc8bf77b9e0485f0eea7005e263a85.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14647/alts/zoom/alt_2247805_0cfe13b2e6ff34fe69178ad4a7a2756c.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/14647/main/zoom/2247805_8832b67bb098425fd75a91081980a034.png']"
Méandres,5334,Corinne Pages,81 x 100 cm,"2022 • Francia • Acrílico, Tierra en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/3333/main/zoom/1736922_dd32b74dcc648f75d2f85f6876baee72.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_583eb8efb92a445842cab79c55341409.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_8b693eba656acda64127e4f1b9cb5ae9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_05a712f536e00be1078fd64a52a3bd5a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_ad49d22da9c5618bb0e90ddc55dcc3dd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_f7aee913c49930e6ae87d035661d1f71.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_f27dc1f11fc9506702fb594a063e0b78.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_f0d0af19b5dead689bb000ac35de582c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_14b37c2481b1b02b75ba6587939492fe.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_d8539024ef291ca7624b6fabe20e6e3d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/alts/zoom/alt_1736922_975cc70af412e8fe8663960ecfaca179.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3333/main/zoom/1736922_dd32b74dcc648f75d2f85f6876baee72.jpeg']"
La Morte Della Lira.,7315,Salvatore Petrucino,15(L)x13(A)x15(P)cm,2015 • Italia,"['https://www.singulart.com/images/artworks/v2/cutout/62415/main/zoom/2118786_efd71e71d2ec21a6991fbc0ab883781f.png', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_64710feaf9c4e58bcb08c60b3bd91c6c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_120fdb1124a8f22f5edd7612c94d9d43.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_a8353af8c3b95405737666020a0cc562.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_745dedc9208905f2f9b410f25ff2d3f9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_abc0942268fb509601695c9bae555134.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_77e0ec44fb60758a7f9eb294644e3f07.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62415/alts/zoom/alt_2118786_a52a6b29594102e5392f4e9e202da08f.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/62415/main/zoom/2118786_efd71e71d2ec21a6991fbc0ab883781f.png']"
Pipa de somnis,5586,Lluis Clar,146 x 114 cm,"2019 • España • Collage, Dorados en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/5895/main/zoom/495527_5fd6a70576026244f8e087cf8ecb464d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_d87b95787d28886d9c6789d9eeeecaa9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_8e805f756e2781bd2dc775194cda37ff.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_1ffe7e41116562d24e994a38f76ebd3a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_808fb40115f4e1fc9cdc864ec97f2974.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_5b1eaf0d95a3e0da3aad4eac8bd01641.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_807e87cbd46f7900f4d0c7cefd28093a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_867f8ba019d368918d02aea19675920c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/alts/zoom/alt_495527_70f4b5cb0a1fcf8930a3b5329b15759d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5895/main/zoom/495527_5fd6a70576026244f8e087cf8ecb464d.jpeg']"
EXTASIA,8530,David Fabié,52(L)x91(A)x30(P)cm,2024 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/59227/main/zoom/2093787_a52edc1d8df07bede6834823c716fa78.png', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_733538eb55622529294c9b5ac9ff17da.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_5bbe26507262399f728397ee239381b7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_d0414f93e5bbc57f965ee007b690f39f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_5d7d218a28b9e5ba3ae84075a44c884c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_22de1ec4dd0dc4f126d8bc4fa2b2ef81.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_b8cbc75511753638fc45f2d2c04b67e8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_37f35aa3eda6399e6976c3d3a56759cf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_346f5d784d017b6c5f48adff45c50168.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_43ba4502f44c553500cbf25fa0b54909.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_807cf892e3d987c1102669d6c34aa883.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_36628b731eb2dc34aefa17eae285aa90.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_8b3420f1e2f99a52dfe09b83dd5201e8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59227/alts/zoom/alt_2093787_6bfce2fa1443fd84d9ea5c6d03d14563.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/59227/main/zoom/2093787_a52edc1d8df07bede6834823c716fa78.png']"
PROYECTO DE MODERNIZACION,8580,Juan Francisco Gomez Cambronero,190 x 145 cm,2010 • España • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/13229/main/zoom/712563_c01f0d01454f96f067d98a3f7728b7c9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_d1ced7fb0642d15b26e62d1a322b8514.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_df040540ae2a2ad8c7c8c97e57bd9b60.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_d1ced7fb0642d15b26e62d1a322b8514.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_a1f9e07503aee4efeb925201c6891191.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_920bf59c83fc8a89608b6ed72c9d730a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_965220d43be5ceebe4020f27ef05d92a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_5bad325cde4def90053e008482945ca9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_db71262be952b7791a4c2e50b5e0d610.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_5b6222db3c1893b2cfd4109bb4723c8c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_df040540ae2a2ad8c7c8c97e57bd9b60.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/alts/zoom/alt_712563_040e624ab84138f9bd0ebdeaddb9cfa8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13229/main/zoom/712563_c01f0d01454f96f067d98a3f7728b7c9.jpeg']"
"Mill bay, Salcombe",8740,Damien Hirst,90 x 90 cm,2024 • Reino Unido,"['https://www.singulart.com/images/artworks/v2/cropped/36531/main/zoom/1979126_00f0aeb3a12e108fa4fa9f946c29fcdd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36531/alts/zoom/alt_1979126_a2a22adb1bd459a5c9b8f585cf79b7c9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36531/alts/zoom/alt_1979126_f94f4a4781d0e89fe44991ced41c0319.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36531/alts/zoom/alt_1979126_9d15438cf241e281e18ecd3d73ce2135.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36531/main/zoom/1979126_00f0aeb3a12e108fa4fa9f946c29fcdd.jpeg']"
"""Catarsis""",6447,Marcos Carrasco,151 x 196 cm,"2017 • España • Acrílico, Óleo en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/11671/main/zoom/499631_b746b7cf20919becb167e3a543f95361.png', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_7cf064c646abcc0df248a1f22ce07bd9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_31d8e87bcbf68119c82b99bb8117db54.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_0a96434d6bc3f0bdc8b15d20a20faa99.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_425cf9fd1623239f324d568fe6c5ec1c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_477ca7aa7459b638e02b6614d85b332b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_8e0cfff72b1b5384c26bb2f97dd6caa6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_05946357876f8b3935dba49c32497f17.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_36dd99e878dbaee86483905b2888c2c1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_5740f7b55cf55aff347c9ac5e3bca4a7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_3eb9fed2663eea105535b8fbab4e7dd5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_c4113b2b9d674ad3f3e3bb38ae5626d1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_d0036db51611c1ee70e3b1856124d507.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_d6049df956638899e6adaebd2c9b066d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_3eb9fed2663eea105535b8fbab4e7dd5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_5e039d960926a64fa318881c4860817d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_3cb7f064d24063adf9e42c48a682f1ab.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/alts/zoom/alt_499631_3cdf43d589215d3fcb5e442fc0bf8111.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/11671/main/zoom/499631_b746b7cf20919becb167e3a543f95361.png']"
"""E CI FERMAMMO A MIRAR LE STELLE""",6188,Lele De bonis,40(L)x200(A)x35(P)cm,2025 • Italia,"['https://www.singulart.com/images/artworks/v2/cutout/10399/main/zoom/2253105_79a97015c469bd74fdf65e4a17c2b1a1.png', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_08e4378a6f80336b66688c6f9b27962a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_19d1543a177696661477bc2860921fdd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_b974c103a50e214a85b2f1601d74b492.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_3546ce658f883906c0f634726daf8c9c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_f503eeeb0b20ba32995aef9abc881866.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_1a69bb7d7d566443d65edebbf6007e3f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_fad2ea943c418d3bd4788c7e68269027.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_be46023014c7ac340b31613fa55fe722.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_a283d59c15e31132523ddd32c6df1fc4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_994ad893a306b97c939743ec78fb7421.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_1ba44bf65ac26d64d19790606882814a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_8aceb5a2135a4cb40fb9b23bdcbb8683.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10399/alts/zoom/alt_2253105_ae8f466fc3b70edc4a3c141c7fd50f3e.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/10399/main/zoom/2253105_79a97015c469bd74fdf65e4a17c2b1a1.png']"
